"-6,640599993"
"-15,2857698091"
"-26,0300345309"
"-36,873442268"
"-46,2710728639"
"-55,6991589893"
"-65,755018878"
"-75,2445164479"
"-84,6773327626"
"-94,0568888878"
"-103,4723287116"
"-113,0784200805"
"-122,7247840108"
"-133,0793835102"
"-142,7911769931"
"-152,5354445454"
"-162,1360173704"
"-171,7689051146"
"-181,5255191281"
"-191,4069966924"
"-201,1164452415"
"-141,5824862162"
"-74,4895586703"
"-32,4988156438"
"-19,7181022501"
"-6,0303450646"
"-55,2847056316"
"-108,7246910264"
"-137,5143709308"
"-140,5913333055"
"-139,6134117798"
"-89,6552279707"
"-35,8157944585"
"-8,2808955734"
"-17,7584159919"
"-35,7279977288"
"-49,0859300096"
"-62,4868366711"
"-75,2882618382"
"-87,8782739355"
"-101,8254997917"
"-96,0685778737"
"-30,8172785007"
"46,3624699531"
"101,6981484897"
"157,0980445565"
"210,548879052"
"263,0096822709"
"317,2302374902"
"375,865635203"
"-1242,2098617125"
"-2564,361064072"
"-2510,640911182"
"-2455,7929339961"
"-2400,8953414669"
"-2345,6302753384"
"-2280,5744670089"
"-2194,5863245867"
"-2077,8591247623"
"-1903,0594316533"
"-1726,4590396416"
"-1736,3962262909"
"-1754,5794778389"
"-1755,6751964604"
"-1715,4317444158"
"-1693,332750083"
"-1552,1234990899"
"-1399,6992484518"
"-1295,9329021826"
"-1245,8505375434"
"-1194,9232464762"
"-1102,6681250595"
"-934,3482505613"
"-773,3961002837"
"-663,3829271363"
"-553,5937083238"
"-445,2583196348"
"-336,7759560071"
"-218,6860619683"
"-2863,1243616869"
"-4576,0206591064"
"-4398,1682857497"
"-4211,660813295"
"-4051,7797369721"
"-3922,4879939584"
"-3773,1501000747"
"-3694,7050137457"
"-3632,6613918706"
"-3544,3450527312"
"-3430,7120188729"
"-3315,4944535722"
"-3157,1467780203"
"-2973,957148219"
"-2826,6320949786"
"-2719,6666801288"
"-2612,6624725215"
"-2508,0934008377"
"-2402,7463420974"
"-2298,4852424204"
"-2202,774262776"
"-2163,169394357"
"-2111,4623973826"
"-2002,7177853177"
"-1875,5660496789"
"-1771,2751882849"
"-1667,1326244033"
"-1565,0491847118"
"-1461,9851072829"
"-1357,4767519945"
"-1249,3297040165"
"-2614,7371738849"
"-4098,7124082603"
"-3998,7392108016"
"-3898,3815839429"
"-3797,5610724736"
"-3697,241122754"
"-3594,7432681992"
"-3474,5167361304"
"-3377,94648632"
"-3283,2881048068"
"-3189,1779368827"
"-3097,6456955281"
"-3006,4340695233"
"-2919,4501849563"
"-2814,0420941821"
"-2731,5593977104"
"-2649,7686678792"
"-2566,9276058479"
"-2412,8549111578"
"-2193,4668245635"
"-1989,6943902063"
"-1963,2539123179"
"-1972,4086804967"
"-1988,5905041163"
"-2012,5199305743"
"-2024,5639235777"
"-1893,3251366456"
"-1765,9213682794"
"-1690,6650188376"
"-1660,2630952023"
"-1627,9674312639"
"-1598,1328348249"
"-1566,6568490274"
"-1536,9792593274"
"-1507,1497738603"
"-1477,4178613923"
"-1447,2611392711"
"-1417,2120065191"
"-1385,718631937"
"-1356,9364158722"
"-1328,2016350376"
"-1297,3939067398"
"-1266,7968479848"
"-1236,4850526751"
"-1205,6394335477"
"-1173,7013622213"
"-1062,7412566345"
"-956,5956854786"
"-860,8707565749"
"-773,3668907442"
"-695,0626323614"
"-660,7712917675"
"-630,149625412"
"-608,2417315364"
"-593,5876330166"
"-579,1996575716"
"-565,41031067"
"-550,6442833519"
"-537,5577988807"
"-524,839987038"
"-512,2397307746"
"-499,7392323034"
"-487,360778775"
"-475,3095314339"
"-463,6236693783"
"-452,0431550513"
"-440,3137099665"
"-428,4219625032"
"-417,3234553109"
"-406,3662566483"
"-395,7469894627"
"-386,4512948246"
"-377,2317154944"
"-371,5370663015"
"-368,9513360016"
"-366,1451009842"
"-361,9225757379"
"-356,2061176177"
"-279,4872523589"
"-137,7213441952"
"-5,4095999496"
"-52,6425723101"
"-96,4042445294"
"-146,4619042876"
"-201,6585854151"
"-249,7887899044"
"-144,5744488987"
"-48,2698334187"
"-3,6570199981"
"-3,4379551812"
"-3,2193120279"
"-2,9940538701"
"-2,7538322386"
"-2,5358790792"
"-2,3243134542"
"-2,1131913084"
"-1,8917717668"
"-1,6705449361"
"-1,4560213193"
"-1,2344225404"
