Toil_free60; Alfa_free60; Toil_free50; Alfa_free50; Toil_free40; Alfa_free40; Toil_free30; Alfa_free30; Toil_free20; Alfa_free20
32.6582; 0.776931; 33.6742; 0.787092; 34.8449; 0.798799; 35.9947; 0.810297; 37.3211; 0.823561
32.1905; 0.772255; 33.2567; 0.782916; 34.4906; 0.795257; 35.7082; 0.807432; 37.1194; 0.821544
31.7358; 0.767708; 32.8489; 0.778839; 34.1431; 0.791781; 35.4259; 0.804609; 36.9196; 0.819546
31.2937; 0.763287; 32.4508; 0.774858; 33.8021; 0.788371; 35.1477; 0.801827; 36.7217; 0.817567
30.8637; 0.758987; 32.0619; 0.770969; 33.4675; 0.785025; 34.8735; 0.799085; 36.5258; 0.815608
30.4455; 0.754805; 31.6821; 0.767171; 33.1392; 0.781742; 34.6033; 0.796383; 36.3317; 0.813667
30.0387; 0.750737; 31.3111; 0.763461; 32.817; 0.77852; 34.3369; 0.793719; 36.1395; 0.811745
29.643; 0.74678; 30.9487; 0.759837; 32.5008; 0.775358; 34.0744; 0.791094; 35.9492; 0.809842
29.258; 0.742931; 30.5947; 0.756297; 32.1905; 0.772255; 33.8156; 0.788506; 35.7607; 0.807957
28.8835; 0.739185; 30.2488; 0.752838; 31.886; 0.76921; 33.5606; 0.785955; 35.574; 0.80609
28.519; 0.73554; 29.9109; 0.749459; 31.5871; 0.766221; 33.3091; 0.783441; 35.3891; 0.804241
28.1643; 0.731993; 29.5807; 0.746157; 31.2937; 0.763287; 33.0613; 0.780963; 35.2059; 0.802409
27.8191; 0.728541; 29.258; 0.742931; 31.0057; 0.760407; 32.817; 0.77852; 35.0245; 0.800595
27.483; 0.72518; 28.9427; 0.739777; 30.723; 0.75758; 32.5762; 0.776111; 34.8449; 0.798799
27.1559; 0.721909; 28.6345; 0.736695; 30.4455; 0.754805; 32.3387; 0.773737; 34.6669; 0.797019
26.8375; 0.718725; 28.3333; 0.733683; 30.1731; 0.752081; 32.1047; 0.771397; 34.4906; 0.795257
26.5274; 0.715624; 28.0389; 0.730739; 29.9056; 0.749406; 31.8739; 0.769089; 34.316; 0.79351
26.2255; 0.712605; 27.7511; 0.727861; 29.643; 0.74678; 31.6464; 0.766814; 34.1431; 0.791781
25.9314; 0.709664; 27.4698; 0.725048; 29.3852; 0.744202; 31.4221; 0.764571; 33.9718; 0.790068
