move_time_iter: 180
free_time_iter: 180
move_time_iter: 180
free_time_iter: 150
move_time_iter: 180
free_time_iter: 120
move_time_iter: 180
free_time_iter: 90
move_time_iter: 180
free_time_iter: 60
Toil_free60; Alfa_free60; Toil_free50; Alfa_free50; Toil_free40; Alfa_free40; Toil_free30; Alfa_free30; Toil_free20; Alfa_free20
95.1663; 19.2119; 95.1663; 19.2119; 95.1663; 19.2119; 95.1663; 19.2119; 95.1663; 19.2119
95.179; 19.2236; 95.179; 19.2236; 95.179; 19.2236; 95.179; 19.2236; 95.179; 19.2236
95.1902; 19.234; 95.1902; 19.234; 95.1902; 19.234; 95.1902; 19.234; 95.1902; 19.234
95.2001; 19.2432; 95.2001; 19.2432; 95.2001; 19.2432; 95.2001; 19.2432; 95.2001; 19.2432
95.2089; 19.2514; 95.2089; 19.2514; 95.2089; 19.2514; 95.2089; 19.2514; 95.2089; 19.2514
95.2166; 19.2586; 95.2166; 19.2586; 95.2166; 19.2586; 95.2166; 19.2586; 95.2166; 19.2586
95.2235; 19.265; 95.2235; 19.265; 95.2235; 19.265; 95.2235; 19.265; 95.2235; 19.265
95.2296; 19.2707; 95.2296; 19.2707; 95.2296; 19.2707; 95.2296; 19.2707; 95.2296; 19.2707
95.235; 19.2757; 95.235; 19.2757; 95.235; 19.2757; 95.235; 19.2757; 95.235; 19.2757
95.2398; 19.2802; 95.2398; 19.2802; 95.2398; 19.2802; 95.2398; 19.2802; 95.2398; 19.2802
95.244; 19.2841; 95.244; 19.2841; 95.244; 19.2841; 95.244; 19.2841; 95.244; 19.2841
95.2478; 19.2876; 95.2478; 19.2876; 95.2478; 19.2876; 95.2478; 19.2876; 95.2478; 19.2876
95.2511; 19.2907; 95.2511; 19.2907; 95.2511; 19.2907; 95.2511; 19.2907; 95.2511; 19.2907
95.2541; 19.2935; 95.2541; 19.2935; 95.2541; 19.2935; 95.2541; 19.2935; 95.2541; 19.2935
95.2567; 19.2959; 95.2567; 19.2959; 95.2567; 19.2959; 95.2567; 19.2959; 95.2567; 19.2959
95.259; 19.298; 95.259; 19.298; 95.259; 19.298; 95.259; 19.298; 95.259; 19.298
95.261; 19.3; 95.261; 19.3; 95.261; 19.3; 95.261; 19.3; 95.261; 19.3
