Toil_alone; Alfa_alone; Toil_6min; Alfa_6min; Toil_8min; Alfa_8min; Toil_10min; Alfa_10min; Toil_12min; Alfa_12min
33.1673; 1.90908; 43.5056; 1.58613; 38.4644; 0.706734; 35.3916; 0.591306; 32.7132; 0.485872
34.192; 2.00591; 44.8656; 1.69377; 39.628; 0.71837; 36.4369; 0.601759; 33.6564; 0.495304
35.2058; 2.10653; 46.1788; 1.80464; 40.7511; 0.729602; 37.4457; 0.611847; 34.5665; 0.504405
36.2086; 2.21103; 47.4471; 1.91861; 41.8356; 0.740445; 38.4195; 0.621585; 35.4448; 0.513188
37.2005; 2.3195; 48.6724; 2.03553; 42.8828; 1.23943; 39.3598; 0.630988; 36.2928; 0.521668
38.1818; 2.43203; 49.8562; 2.15526; 43.8944; 1.30147; 40.2679; 0.640069; 37.1117; 0.529857
39.1524; 2.54871; 51.0003; 2.27767; 44.8719; 1.36436; 41.1452; 0.648842; 37.9027; 0.537767
40.1125; 2.66964; 52.1063; 2.4026; 45.8165; 1.42803; 41.9931; 0.65732; 38.6671; 0.545411
41.0622; 2.7949; 53.1758; 2.52991; 46.7298; 1.49241; 42.8126; 0.665516; 39.4059; 0.552799
42.0015; 2.92457; 54.2101; 2.65946; 47.613; 1.55742; 43.6051; 0.673441; 40.1202; 0.559942
42.2839; 2.96471; 53.1118; 2.5221; 46.7003; 1.49028; 42.802; 0.665409; 39.4104; 0.552844
41.9759; 2.92095; 51.3881; 2.32071; 45.2537; 1.38975; 41.5205; 0.652595; 38.2707; 0.541447
41.5196; 2.85731; 49.7478; 2.14401; 43.8753; 1.30027; 40.2985; 0.640375; 37.183; 0.530571
41.0327; 2.79092; 48.1983; 1.98946; 42.5719; 1.22096; 39.1424; 0.628814; 36.1536; 0.520276
40.5458; 2.72608; 46.7334; 1.85362; 41.3386; 0.735476; 38.0479; 0.617869; 35.1786; 0.510526
40.0667; 2.66375; 45.3477; 1.73366; 40.1711; 0.723801; 37.0113; 0.607503; 34.2548; 0.501288
39.597; 2.60402; 44.0361; 1.62728; 39.065; 0.71274; 36.0288; 0.597678; 33.379; 0.49253
39.137; 2.54681; 42.7939; 1.53256; 38.0168; 0.702258; 35.0973; 0.588363; 32.5483; 0.484223
38.6863; 2.492; 41.6167; 1.44788; 37.0227; 0.692317; 34.2137; 0.579526; 31.7601; 0.47634
38.2449; 2.43945; 40.5005; 1.37192; 36.0796; 0.682886; 33.3749; 0.571139; 31.0117; 0.468857
37.8124; 2.38904; 39.4415; 1.30353; 35.1842; 0.673932; 32.5785; 0.563175; 30.3008; 0.461748
37.3887; 2.34066; 38.4362; 0.834712; 34.3338; 0.665428; 31.8218; 0.555607; 29.6253; 0.454993
36.9735; 2.29421; 37.4813; 0.825163; 33.5257; 0.657347; 31.1025; 0.548415; 28.9831; 0.448571
36.5666; 2.24959; 36.5739; 0.816089; 32.7573; 0.649663; 30.4184; 0.541574; 28.3722; 0.442462
36.168; 2.2067; 35.711; 0.80746; 32.0264; 0.642354; 29.7675; 0.535065; 27.7908; 0.436648
35.7773; 2.16546; 34.8901; 0.79925; 31.3307; 0.635397; 29.1479; 0.528869; 27.2373; 0.431113
35.3943; 2.12579; 34.1086; 0.791436; 30.6682; 0.628772; 28.5577; 0.522967; 26.71; 0.42584
35.019; 2.08762; 33.3643; 0.783993; 30.037; 0.62246; 27.9954; 0.517344; 26.2075; 0.420816
34.6511; 2.05087; 32.6549; 0.776899; 29.4354; 0.616444; 27.4592; 0.511982; 25.7284; 0.416024
34.2905; 2.01547; 31.9786; 0.770136; 28.8615; 0.610705; 26.9478; 0.506868; 25.2714; 0.411454
33.9371; 1.98137; 31.3334; 0.763684; 28.314; 0.60523; 26.4597; 0.501987; 24.8352; 0.407092
34.1988; 2.00656; 32.611; 0.77646; 29.4082; 0.616172; 27.443; 0.51182; 25.7221; 0.415961
35.0262; 2.08834; 34.5064; 0.795414; 31.0296; 0.632386; 28.8983; 0.526373; 27.0333; 0.429073
36.0033; 2.18922; 36.347; 0.81382; 32.6027; 0.648117; 30.3096; 0.540486; 28.3042; 0.441782
37.0142; 2.29872; 38.1181; 0.831531; 34.1153; 0.663243; 31.6659; 0.554049; 29.5252; 0.453992
38.0265; 2.41387; 39.822; 1.32771; 35.5696; 0.677786; 32.9695; 0.567085; 30.6983; 0.465723
39.0313; 2.53385; 41.4614; 1.43706; 36.968; 0.69177; 34.2225; 0.579615; 31.8256; 0.476996
